Id,LEI,LegalName,Address,City,Province,PostCode,Country,ContactPerson,ContactPersonPosition,ContactEmailAddress,FilingEmailAddress,TelephoneNumber,DenominatorWebsite,AustralianCompanyNumber,AustralianRegisteredSchemeNumber,SouthAfricanRegistrationNumber,IssuersRegisterCourt,RegisterType,RegisterNumber,PhilippineSecId,PhilippineBirTaxId,MalaysiaCompanyNumber
LUZQVYP4VS22CLWDAR65,LUZQVYP4VS22CLWDAR65,3M CO,251 Little Falls Drive,New Castle,Wilmington,19808,United States,,,,investor_relations@3mcompany.com,,,,,,,,,,,
2549005EEIR2FNT5R792,2549005EEIR2FNT5R792,Air New Zealand,185 Fanshawe St,Auckland,,1010,New Zealand,,,,investor_relations@airnewzealand.com,,https://www.airnewzealand.co.nz/databook,,,,,,,,,
HZSN7FQBPO5IEWYIGC72,HZSN7FQBPO5IEWYIGC72,ANZ Bank,100 Queen Street,Melbourne,VIC,3000,Australia,,,,investor_relations@anzbank.com,,,,,,,,,,,
969500KMUQ2B6CBAF162,969500KMUQ2B6CBAF162,DANONE,17 Boulevard Haussmann,Paris,Paris,75009,France,,,,investor_relations@danone.com,,https://www.danone.com/investor-relations/shareholders/faq.html,,,,,,,,,
549300A0JPRWG1KI7U06,549300A0JPRWG1KI7U06,Nokia,Karaportti 3.,Espoo,,2610,Finland,,,,investor_relations@nokia.com,,https://www.nokia.com/en_int/about-nokia/investors/stock-information/number-of-shares,,,,,,,,,
W7L3VLU8EHQY34Z36697,W7L3VLU8EHQY34Z36697,Bombardier Inc,800 René-Lévesque Blvd W,Montreal,Quebec,QC H3B 1Y8,Canada,,,,investor_relations@bombardier.com,,https://ir.bombardier.com/en/share-information,,,,,,,,,
213800TB53ELEUKM7Q61,213800TB53ELEUKM7Q61,Vodafone Group Plc,The Connection,Newbury,Berkshire,RG14 2FN,UK,,,,investor_relations@vodafone.com,,https://vodafone.com/content/index/investors/shareholders/stock-information.html,,,,,,,,,
D3K6HXMBBB6SK9OXH394,D3K6HXMBBB6SK9OXH394,Dexia,Place du Champ de Mars 5,Brussels,,1050,Belgium,,,,investor_relations@dexia.com,,http://www.dexia.com/EN/shareholder_investor/shareholder_information/share_characteristics/Pages/default.aspx,,,,,,,,,
YEH5ZCD6E441RHVHD759,YEH5ZCD6E441RHVHD759,BMW AG,Petuelring 130,Munich,Bayern,80788,Germany,,,,investor_relations@bmw.com,,https://www.bmwgroup.com/en/investor-relations/bmw-%20shares.html,,,,Munich Local Registry Court,Commercial,DE 129273398,,,
549300MLH00Y3BN4HD49,549300MLH00Y3BN4HD49,Ericsson,Torshamnsgatan 21,Stockholm,,164 83,Sweden,,,,investor_relations@ericsson.com,,https://www.ericsson.com/en/investors/shareholder-information,,,,,,,,,
5493006QMFDDMYWIAM13,5493006QMFDDMYWIAM13,Tesco Plc,"Shire Park, Kestrel Way",Welwyn City Garden,,AL7 1GA,UK,,,,investor_relations@tesco.com,,https://www.bloomberg.com/quote/TSCO:LN,,,,,,,,,
353800DRBDH1LUTNAY26,353800DRBDH1LUTNAY26,Nissan,"1-1, Takashima 1-chome",Nishi-ku,Yokohama-shi,220-8686,Japan,,,,investor_relations@nissanmotors.com,,https://www.nissan-global.com/EN/IR/STOCK/INFORMATION/,,,,,,,,,
ACMHD8HWFMFUIQQ8Y590,ACMHD8HWFMFUIQQ8Y590,Macquarie Bank,50 Martin Place,Sydney,NSW,2000,Australia,,,,investor_relations@macquire.com,,,,,,,,,,,
G5GSEF7VJP5I7OUK5573,G5GSEF7VJP5I7OUK5573,Barclays Bank,1 Churchill Place,London,,E14 5HP,UK,,,,investor_relations@barclays.com,,https://www.home.barclays/barclays-investor-relations/investor-news.html,,,,,,,,,
213800ZJEUQ8ZOC9AL24,213800ZJEUQ8ZOC9AL24,Cairn Energy Plc,50 Lothian Road,Edinburgh,,H3 9BY,UK,,,,investor_relations@carinenergy.com,,https://www.bloomberg.com/quote/CAIR:IN,,,,,,,,,
6SNZTEXLR1M5211YYB89,6SNZTEXLR1M5211YYB89,Carillion Plc,84 Salop Street,Wolverhampton,,WV3 0SR,UK,,,,investor_relations@carillion.com,,,,,,,,,,,
7245000R8GNBSDTSZ396,7245000R8GNBSDTSZ396,Fugro N.V.,Veurse Achterweg 10,Leidschendam,Zuid-Holland,,Netherlands,,,,investor_relations@fugro.com,,https://www.fugro.com/investors/shares/share-capital,,,,,,,,,
5493006QMFDDMYWIAM13,5493006QMFDDMYWIAM13,"Banco Santander, S.A.",Paseo de Pereda 9-12,Santander,,39004,Spain,,,,investor_relations@santander.com,,https://www.santander.com/csgs/Satellite/CFWCSancomQP01/en_GB/Corporate/Shareholders-and-Investors/Corporate-events/Shareholders-general-meeting.html,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,WOCMU6HCI0OJWNPRZS33,Enel SpA,Viale Regina Margherita 137,Rome,,198,Italy,,,,investor_relations@enel.com,,https://www.bloomberg.com/quote/ENEL:IM,,,,,,,,,
F5WCUMTUM4RKZ1MAIE39,F5WCUMTUM4RKZ1MAIE39,AXA SA,25 Avenue Matignon,Paris,,75008,France,,,,investor_relations@axa.com,,https://www.axa.com/en/investor/share-performance,,,,,,,,,
